course_number,course_title,status,year,minimum_grade,term
PH.140.751,Adv Methods Biostats I,required,1,B,1
PH.140.752,Adv Methods Biostats II,required,1,B,2
PH.140.753,Adv Methods Biostats III,required,1,B,3
PH.140.754,Adv Methods Biostats IV,required,1,B,4
PH.140.721,Probability Theory I,required,1,B,1
PH.140.722,Probability Theory II,required,1,B,2
PH.140.723,Probability Theory III,required,1,B,3
PH.140.724,Probability Theory IV,required,1,B,4
PH.140.776,Statistical Computing,required,1,C,1
PH.550.860,Academic and Research Ethics at JHSPH,required,1,P,1
PH.550.865,Public Health Perspectives on Research,required,1,P,1
PH.260.600,Introduction to Biomedical Sciences ,recommended,1,P,1
PH.340.721,Epidemiologic Inference in Public Health I,required,2,C,1
PH.140.711,Adv Data Science I,required,2,B,1
PH.140.712,Adv Data Science II,required,2,B,2
PH.550.600,Responsible Conduct of Research,required,2,P,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
