course_number,course_title,status,year,minimum_grade,term
PH.140.651,Mthds Biostatistics I,required,1,B,1
PH.140.652,Mthds Biostatistics II,required,1,B,2
PH.140.653,Mthds Biostatistics III,required,1,B,3
PH.140.654,Mthds Biostatistics IV,required,1,B,4
PH.140.646,Essntls Of Prob And Stat I,required,1,B,1
PH.140.647,Essntls Of Prob And Stat II,required,1,B,2
PH.140.648,Essntls Of Prob And Stat III,required,1,B,3
PH.140.649,Essntls Of Prob And Stat IV,required,1,B,4
PH.140.776,Statistical Computing,required,1,C,1
PH.340.721,Epidemiologic Inference in Public Health I,required,1,C,1
PH.550.860,Academic and Research Ethics at JHSPH,required,1,P,1
PH.550.865,Public Health Perspectives on Research,required,1,P,1
PH.140.630,Intro Data Mgnt,required,1,C,1
PH.260.600,Introduction to Biomedical Sciences ,recommended,1,P,1
PH.550.600,Responsible Conduct of Research,required,2,P,1
